threshold_deg,cue_delay_s,cooldown_s,cue_strength,base_pattern,mean_error_deg,bad_posture_percent,number_of_cues,total_comfort_penalty,mean_pressure_kpa,max_pressure_kpa,norm_mean_error_deg,norm_bad_posture_percent,norm_number_of_cues,norm_total_comfort_penalty,overall_score_lower_is_better
8,1.0,4,1.0,wave,6.292134994204442,83.22222222222221,38,4.896147921050618,0.13600410891807274,2.4007943552303055,0.5343457663994078,0.4657142857142851,0.5384615384615384,0.29294689986566563,0.45559340399056725
7,0.5,3,1.3,wave,5.056150935676623,81.77777777777779,49,8.354770782852523,0.23207696619034784,3.1278105149518742,0.25788768016692093,0.3914285714285716,0.8205128205128205,0.6728979561758294,0.4572456504710354
8,1.0,3,1.0,wave,5.937292708678907,81.33333333333333,50,6.486756689118911,0.18018768580885863,2.4060080884245187,0.4549766042375617,0.3685714285714281,0.8461538461538461,0.46768508490411603,0.4577536955127409
8,0.5,3,1.0,pulse,5.837705684338347,81.55555555555556,50,6.546849450467866,0.18185692917966292,2.4060080884245187,0.4327015287842647,0.3799999999999999,0.8461538461538461,0.4742866454279005,0.4586480958970308
8,2.0,8,1.3,wave,7.16361832327928,84.94444444444444,19,3.2393396319565646,0.08998165644323791,3.1200002599673136,0.7292743430887515,0.554285714285714,0.05128205128205128,0.11093628908263427,0.45906262014549115
8,1.0,6,1.0,pulse,7.471199299379751,83.55555555555556,25,3.2783844594381755,0.09106623498439376,2.4000113903295164,0.7980723566452851,0.4828571428571427,0.20512820512820512,0.11522560423431785,0.46036174480671954
6,0.5,4,1.6,pulse,5.1568637308446235,83.27777777777777,38,7.970261064299433,0.22139614067498423,3.841270968368489,0.28041456181977453,0.46857142857142803,0.5384615384615384,0.630657191697202,0.46093837549768046
8,1.0,8,1.0,wave,8.167022680773758,83.33333333333334,19,2.491599650781576,0.06921110141059933,2.4000001999748566,0.9537102866402176,0.4714285714285717,0.05128205128205128,0.028792439624366527,0.4614571218559901
5,0.5,8,1.6,wave,6.6799285144390534,85.33333333333334,20,4.120339434864517,0.11445387319068102,3.8400003199597705,0.6210852787076134,0.5742857142857146,0.07692307692307693,0.20771955198789605,0.46293610919536177
8,0.5,8,1.0,pulse,7.539213069975484,84.94444444444444,19,2.49180325024762,0.06921675695132277,2.4000001999748566,0.8132853011218896,0.554285714285714,0.05128205128205128,0.028814806281639835,0.46364106309357683
7,1.0,3,1.3,wave,5.207271125317969,81.72222222222221,49,8.35304826263107,0.23202911840641857,3.1278105149518742,0.29168940934868665,0.38857142857142796,0.8205128205128205,0.6727087267039246,0.46437252258638123
7,1.0,4,1.0,wave,6.215293464893548,83.72222222222221,38,4.97738889860759,0.1382608027390997,2.4007943552303055,0.5171582776208142,0.4914285714285708,0.5384615384615384,0.30187172239527793,0.4646529248732698
8,0.5,8,1.0,wave,8.02414321061187,83.94444444444444,19,2.4917967361151376,0.06921657600319828,2.4000001999748566,0.9217517960671952,0.5028571428571426,0.05128205128205128,0.028814090664003422,0.4676146865635187
